scenario_id,scenario,error
85,"{'altitude': 24370.019442704357, 'time_at_altitude': 250.91259525305804, 'prebreathing_time': 92.57871288672914, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
86,"{'altitude': 19233.086681165987, 'time_at_altitude': 337.5338059249797, 'prebreathing_time': 180.55087772895342, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
87,"{'altitude': 18647.568940149307, 'time_at_altitude': 217.07607200780308, 'prebreathing_time': 46.23190438965039, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
88,"{'altitude': 21020.200867028023, 'time_at_altitude': 278.0895810589674, 'prebreathing_time': 100.1560321832475, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
89,"{'altitude': 21031.846602882586, 'time_at_altitude': 215.96441168017802, 'prebreathing_time': 95.16522363440478, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
90,"{'altitude': 20017.901784885482, 'time_at_altitude': 142.00249403208537, 'prebreathing_time': 12.438860929724607, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
91,"{'altitude': 18808.736835289204, 'time_at_altitude': 211.8651727646783, 'prebreathing_time': 141.82491645865434, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
92,"{'altitude': 20485.653806353544, 'time_at_altitude': 35.92714645769484, 'prebreathing_time': 149.01426932617744, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
93,"{'altitude': 22710.915517026468, 'time_at_altitude': 34.72055033979027, 'prebreathing_time': 170.19597460966835, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
94,"{'altitude': 18129.443506820662, 'time_at_altitude': 300.6942657353289, 'prebreathing_time': 98.38474176360631, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
95,"{'altitude': 21531.950358906113, 'time_at_altitude': 219.31461230301306, 'prebreathing_time': 175.41367276787508, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
96,"{'altitude': 21207.318110005435, 'time_at_altitude': 189.49585454449118, 'prebreathing_time': 20.454389927509105, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
97,"{'altitude': 24420.04111188817, 'time_at_altitude': 38.92353894007991, 'prebreathing_time': 12.745159836990299, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
98,"{'altitude': 19537.37603286523, 'time_at_altitude': 182.37878446490527, 'prebreathing_time': 10.737799886255281, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
99,"{'altitude': 18231.899202560846, 'time_at_altitude': 70.8429129690967, 'prebreathing_time': 85.86975497607031, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
100,"{'altitude': 23958.00032375879, 'time_at_altitude': 253.31400359062485, 'prebreathing_time': 104.69552299631604, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
101,"{'altitude': 18401.330361898606, 'time_at_altitude': 293.72179848934815, 'prebreathing_time': 234.52799801760548, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
102,"{'altitude': 22517.018179016744, 'time_at_altitude': 322.88986131569726, 'prebreathing_time': 207.12968447266627, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
