altitude,prebreathing_time,exercise_level,time_at_altitude,risk_of_decompression_sickness
19000,15,Heavy,220,7.00
19000,15,Heavy,230,8.00
19000,15,Heavy,240,8.00
19000,30,Rest,10,0.00
19000,30,Rest,20,0.00
19000,30,Rest,30,0.00
19000,30,Rest,40,0.00
19000,30,Rest,50,0.00
19000,30,Rest,60,0.00
19000,30,Rest,70,0.00
19000,30,Rest,80,0.00
19000,30,Rest,90,0.00
19000,30,Rest,100,0.00
19000,30,Rest,110,0.00
19000,30,Rest,120,0.00
19000,30,Rest,130,0.00
19000,30,Rest,140,0.00
19000,30,Rest,150,0.00
19000,30,Rest,160,0.00
19000,30,Rest,170,0.00
19000,30,Rest,180,0.00
19000,30,Rest,190,0.00
19000,30,Rest,200,0.00
19000,30,Rest,210,0.00
19000,30,Rest,220,0.00
19000,30,Rest,230,0.00
19000,30,Rest,240,0.00
19000,30,Mild,10,0.00
19000,30,Mild,20,0.00
19000,30,Mild,30,0.00
19000,30,Mild,40,0.00
19000,30,Mild,50,0.00
19000,30,Mild,60,0.00
19000,30,Mild,70,0.00
19000,30,Mild,80,0.00
19000,30,Mild,90,0.00
19000,30,Mild,100,0.00
